Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	18.0	21.0	150	15000	gretit1	Great Tit	0.1197
2	Spectrogram 1	1	20.0	23.0	150	15000	carcro1	Carrion Crow	0.1668
3	Spectrogram 1	1	24.0	27.0	150	15000	carcro1	Carrion Crow	0.5058
4	Spectrogram 1	1	26.0	29.0	150	15000	carcro1	Carrion Crow	0.3797
5	Spectrogram 1	1	30.0	33.0	150	15000	carcro1	Carrion Crow	0.4885
6	Spectrogram 1	1	32.0	35.0	150	15000	carcro1	Carrion Crow	0.2658
7	Spectrogram 1	1	34.0	37.0	150	15000	carcro1	Carrion Crow	0.3772
8	Spectrogram 1	1	36.0	39.0	150	15000	carcro1	Carrion Crow	0.6799
9	Spectrogram 1	1	38.0	41.0	150	15000	carcro1	Carrion Crow	0.6752
10	Spectrogram 1	1	42.0	45.0	150	15000	carcro1	Carrion Crow	0.2508
11	Spectrogram 1	1	52.0	55.0	150	15000	gretit1	Great Tit	0.1404
