"confidence_threshold","recording_id","species","true_positive","false_positive","true_negative","false_negative"
"0.56","1","Turdus merula","0","0","1","0"
"0.56","1","Hirundo rustica","0","0","1","0"
"0.56","1","Columba palumbus","0","0","1","0"
"0.56","1","Fringilla coelebs","0","0","1","0"
"0.56","1","Apus apus","0","0","1","0"
"0.56","1","Passer domesticus","0","0","1","0"
"0.56","1","Parus major","0","0","1","0"
"0.56","1","Sylvia atricapilla","0","0","1","0"
"0.56","1","Corvus corone","0","0","1","0"
"0.56","1","Luscinia megarhynchos","0","0","0","1"
"0.56","1","Pica pica","0","0","1","0"
"0.56","1","Carduelis carduelis","0","0","1","0"
"0.56","1","Serinus serinus","0","0","1","0"
"0.56","1","Phoenicurus ochruros","0","0","1","0"
"0.56","1","Cuculus canorus","0","0","1","0"
"0.56","1","Milvus migrans","0","0","1","0"
"0.56","1","Erithacus rubecula","0","0","1","0"
"0.56","1","Delichon urbicum","0","0","1","0"
"0.56","1","Streptopelia decaocto","0","0","1","0"
"0.56","1","Anas platyrhynchos","0","0","1","0"
"0.56","1","Motacilla alba","0","0","1","0"
"0.56","1","Falco tinnunculus","0","0","1","0"
"0.56","1","Cyanistes caeruleus","0","0","1","0"
"0.56","1","Emberiza calandra","0","0","1","0"
"0.56","1","Chloris chloris","0","0","1","0"
"0.56","1","Buteo buteo","0","0","1","0"
"0.56","1","Garrulus glandarius","0","0","1","0"
"0.56","1","Merops apiaster","0","0","1","0"
"0.56","1","Columba livia","0","0","1","0"
"0.56","1","Linaria cannabina","0","0","1","0"
"0.56","1","Cettia cetti","0","0","1","0"
"0.56","1","Ardea cinerea","0","0","1","0"
"0.56","1","Troglodytes troglodytes","0","0","1","0"
"0.56","1","Sturnus vulgaris","0","0","1","0"
"0.56","1","Larus michahellis","0","0","1","0"
"0.56","1","Phylloscopus bonelli","0","0","1","0"
"0.56","1","Emberiza cirlus","0","0","1","0"
"0.56","1","Fulica atra","0","0","1","0"
"0.56","1","Oriolus oriolus","0","0","1","0"
"0.56","1","Saxicola rubicola","0","0","1","0"
"0.56","1","Upupa epops","0","0","1","0"
"0.56","1","Egretta garzetta","0","0","1","0"
"0.56","1","Certhia brachydactyla","0","0","1","0"
"0.56","1","Dendrocopos major","0","0","1","0"
"0.56","1","Circus aeruginosus","0","0","1","0"
"0.56","1","Ptyonoprogne rupestris","0","0","1","0"
"0.56","1","Periparus ater","0","0","1","0"
"0.56","1","Streptopelia turtur","0","0","1","0"
"0.56","1","Turdus viscivorus","0","0","1","0"
"0.56","1","Phylloscopus collybita","0","0","1","0"
"0.56","1","Regulus ignicapilla","0","0","1","0"
"0.56","1","Phalacrocorax carbo","0","0","1","0"
"0.56","1","Ciconia ciconia","0","0","1","0"
"0.56","1","Lullula arborea","0","0","1","0"
