"recording_id","species","code_n_ind","total_time","total_time_detected","BirdNET_confidence","proportion_of_time_detected"
"1","Luscinia megarhynchos","1",9.548714,9.548714,0,1
"1","Luscinia megarhynchos","4",13.196727,13.196727,0,1
"1","Strix aluco","1",5.14420200000001,5.14420200000001,0,1
"10","Fringilla coelebs","1",0.420277999999996,0.420277999999996,0,1
"10","Oriolus oriolus","1",0.327817,0.327817,0,1
"10","Picus viridis","1",2.77383600000001,10.491675,0.907077777777778,3.78237033479989
"10","Picus viridis","4",1.470973,5.67592,0.862604166666667,3.85861603170147
"10","Saxicola rubicola","1",0.975044999999998,1.95009,0.6748,2
"10","Saxicola rubicola","4",27.528204,46.773982,0.346143333333333,1.6991294455679
"10","Sylvia atricapilla","4",14.028878,14.028878,0,1
"10","Turdus merula","1",2.034145,2.034145,0,1
"10","Turdus philomelos","1",5.581291,5.581291,0,1
"10","Turdus philomelos","4",9.851315,9.851315,0,1
"101","Certhia brachydactyla","1",1.445756,1.445756,0,1
"101","Cisticola juncidis","1",7.53138,9.29976,0.3811,1.23480159014683
"101","Columba palumbus","1",4.782763,4.782763,0,1
"101","Corvus corone","1",2.916729,2.916729,0,1
"101","Curruca communis","1",4.900441,4.900441,0,1
"101","Curruca communis","4",27.158359,37.308575,0.176379166666667,1.37374187446303
"101","Emberiza cirlus","1",2.925136,2.925136,0,1
"101","Emberiza cirlus","4",1.672706,1.672706,0,1
"101","Streptopelia turtur","4",30.932457,33.932457,0.6651,1.096985506195
"101","Sylvia atricapilla","1",2.462829,2.462829,0,1
"101","Sylvia atricapilla","2",3.933802,3.933802,0,1
"101","Sylvia atricapilla","4",18.626721,18.626721,0,1
"101","Turdus merula","1",1.15156200000001,1.15156200000001,0,1
"102","Curruca communis","1",2.883106,6.38437499999999,0.395466666666667,2.21440869673192
"102","Sylvia atricapilla","1",7.119509,7.119509,0,1
"102","Sylvia atricapilla","4",30.318851,30.318851,0,1
"102","Turdus merula","1",3.286573,3.286573,0,1
"104","Hirundo rustica","1",4.135535,4.135535,0,1
"104","Streptopelia decaocto","1",16.46649,16.46649,0,1
"104","Troglodytes troglodytes","1",27.477772,27.477772,0,1
"104","Troglodytes troglodytes","4",7.245592,7.245592,0,1
"105","Oriolus oriolus","1",1.25242799999999,1.25242799999999,0,1
"105","Turdus merula","1",4.043074,4.043074,0,1
"106","Luscinia megarhynchos","1",9.405821,18.094629,0.359225,1.92376922758789
"106","Luscinia megarhynchos","2",22.99761,41.432869,0.625625,1.80161629838927
"107","Corvus corone","1",5.648535,5.648535,0,1
"107","Corvus corone","4",1.311267,1.311267,0,1
"107","Luscinia megarhynchos","4",22.829497,27.409145,0.102775,1.20060222965053
"107","Passer domesticus","1",6.69923,6.69923,0,1
"107","Passer domesticus","4",17.088502,17.088502,0,1
"107","Sylvia atricapilla","1",4.723924,4.723924,0,1
"107","Sylvia atricapilla","4",26.679244,26.679244,0,1
"107","Turdus merula","4",1.874439,1.874439,0,1
"108","Luscinia megarhynchos","1",14.793784,14.793784,0,1
"108","Luscinia megarhynchos","2",1.050695,1.050695,0,1
"108","Prunella modularis","1",1.966901,1.966901,0,1
"108","Prunella modularis","4",4.30364600000001,6.02499200000001,0.3403,1.39997388261023
"108","Serinus serinus","4",7.169941,7.169941,0,1
"108","Sylvia atricapilla","1",15.441013,15.441013,0,1
"108","Sylvia atricapilla","4",2.261095,2.261095,0,1
"109","Coturnix coturnix","1",0.268978,0.268978,0,1
"109","Luscinia megarhynchos","1",23.16572,23.16572,0,1
"109","Otus scops","1",57.678945,57.678945,0,1
"11","Luscinia megarhynchos","1",26.998655,33.150776,0.220435714285714,1.22786768451984
"11","Luscinia megarhynchos","2",4.093507,4.093507,0,1
"11","Otus scops","1",2.57210000000001,2.57210000000001,0,1
"110","Certhia brachydactyla","4",2.227473,4.1513,0.7091,1.86368140040306
"110","Corvus corone","1",9.18727599999999,9.18727599999999,0,1
"110","Corvus corone","4",5.203041,5.203041,0,1
"110","Coturnix coturnix","4",3.916989,3.916989,0,1
"110","Emberiza citrinella","4",7.237186,7.237186,0,1
"110","Fringilla coelebs","4",12.415009,12.415009,0,1
"110","Hippolais polyglotta","4",38.295728,70.775667,0.190654545454545,1.84813478412005
"110","Luscinia megarhynchos","1",0.344628,0.344628,0,1
"110","Luscinia megarhynchos","4",1.756762,1.756762,0,1
"110","Phylloscopus collybita","4",12.826883,12.826883,0,1
"110","Sylvia atricapilla","1",1.832411,1.832411,0,1
"110","Sylvia atricapilla","4",13.146294,13.146294,0,1
"110","Turdus merula","1",2.664561,2.664561,0,1
"110","Turdus merula","4",3.723663,3.723663,0,1
"111","Fringilla coelebs","4",6.900964,6.900964,0,1
"111","Parus major","1",6.060408,6.060408,0,1
"111","Parus major","4",27.553422,27.553422,0,1
"111","Sylvia atricapilla","1",7.556598,7.556598,0,1
"111","Sylvia atricapilla","4",2.941945,2.941945,0,1
"111","Turdus merula","1",8.573671,8.573671,0,1
"111","Turdus merula","4",7.665871,7.665871,0,1
"112","Luscinia megarhynchos","1",7.430515,7.430515,0,1
"113","Corvus corone","1",1.092723,1.092723,0,1
"113","Corvus corone","4",18.181224,18.181224,0,1
"113","Curruca communis","1",1.420539,1.420539,0,1
"113","Curruca communis","4",9.893341,21.553454,0.441330952380952,2.17858193708273
"113","Cyanistes caeruleus","1",1.235617,1.235617,0,1
"113","Cyanistes caeruleus","4",1.269239,1.269239,0,1
"113","Erithacus rubecula","1",0.764905000000006,0.764905000000006,0,1
"113","Erithacus rubecula","2",2.790645,2.790645,0,1
"113","Erithacus rubecula","4",4.934063,4.934063,0,1
"113","Phylloscopus collybita","1",1.79878999999998,1.79878999999998,0,1
"113","Phylloscopus collybita","4",18.609906,20.836296,0.16485,1.11963467198598
"113","Sylvia atricapilla","4",15.659557,15.659557,0,1
"113","Troglodytes troglodytes","4",22.123431,22.123431,0,1
"113","Turdus merula","1",1.605461,1.605461,0,1
"113","Turdus philomelos","4",2.824267,2.824267,0,1
"114","Curruca communis","4",31.394762,31.394762,0,1
"114","Regulus ignicapilla","1",5.026525,5.026525,0,1
"114","Regulus ignicapilla","4",6.405037,6.405037,0,1
"114","Streptopelia turtur","1",3.328601,3.328601,0,1
"114","Sylvia atricapilla","1",6.640391,6.640391,0,1
"114","Sylvia atricapilla","2",3.690041,3.690041,0,1
"116","Cyanistes caeruleus","1",3.210924,3.210924,0,1
"116","Cyanistes caeruleus","4",1.395322,1.395322,0,1
"116","Erithacus rubecula","4",34.546848,36.705993,0.107414285714286,1.06249904477537
"116","Garrulus glandarius","1",1.580245,1.580245,0,1
"116","Phylloscopus collybita","4",16.769089,16.769089,0,1
"116","Streptopelia decaocto","1",30.243201,30.243201,0,1
"116","Sylvia atricapilla","1",6.194897,6.194897,0,1
"116","Sylvia atricapilla","4",17.559212,17.559212,0,1
"116","Turdus merula","1",4.715519,4.715519,0,1
"116","Turdus merula","4",12.94456,12.94456,0,1
"117","Erithacus rubecula","1",11.44837,11.44837,0,1
"117","Oriolus oriolus","1",1.613868,1.613868,0,1
"117","Phylloscopus collybita","4",7.89281999999999,7.89281999999999,0,1
"117","Prunella modularis","1",2.672968,2.672968,0,1
"117","Sylvia atricapilla","1",5.79143,5.79143,0,1
"117","Sylvia atricapilla","2",6.211708,6.211708,0,1
"117","Sylvia atricapilla","4",26.544755,29.544755,0.182125,1.11301667692921
"118","Luscinia megarhynchos","2",59.965257,59.965257,0,1
"119","Cisticola juncidis","1",11.608077,11.608077,0,1
"119","Cuculus canorus","1",2.899917,2.899917,0,1
"119","Cyanistes caeruleus","1",0.790122000000004,0.790122000000004,0,1
"119","Erithacus rubecula","4",4.001046,4.001046,0,1
"119","Fringilla coelebs","4",1.992118,1.992118,0,1
"119","Luscinia megarhynchos","1",5.034931,5.034931,0,1
"119","Luscinia megarhynchos","4",6.539525,6.539525,0,1
"119","Passer domesticus","4",0.235355999999999,0.235355999999999,0,1
"119","Phylloscopus collybita","1",0.521143999999999,0.521143999999999,0,1
"119","Sylvia atricapilla","1",3.841341,3.841341,0,1
"119","Sylvia atricapilla","4",20.778542,20.778542,0,1
"119","Troglodytes troglodytes","1",10.82636,10.82636,0,1
"119","Troglodytes troglodytes","4",12.372983,12.372983,0,1
"119","Turdus merula","1",13.751493,13.751493,0,1
"119","Turdus merula","4",11.961111,11.961111,0,1
"12","Alauda arvensis","4",59.998879,65.997758,0.6901,1.09998318468583
"12","Dendrocopos major","1",0.899396000000004,0.899396000000004,0,1
"12","Fringilla coelebs","1",1.908062,1.908062,0,1
"12","Fringilla coelebs","4",0.857367,0.857367,0,1
"12","Luscinia megarhynchos","1",1.193589,1.193589,0,1
"12","Luscinia megarhynchos","4",2.714996,2.714996,0,1
"12","Oriolus oriolus","1",0.378250000000001,0.378250000000001,0,1
"12","Pica pica","1",1.210401,1.210401,0,1
