Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	14.0	17.0	150	15000	trepip	Tree Pipit	0.9888
2	Spectrogram 1	1	16.0	19.0	150	15000	trepip	Tree Pipit	0.9903
3	Spectrogram 1	1	18.0	21.0	150	15000	trepip	Tree Pipit	0.9999
4	Spectrogram 1	1	20.0	23.0	150	15000	trepip	Tree Pipit	0.9975
5	Spectrogram 1	1	22.0	25.0	150	15000	trepip	Tree Pipit	0.9900
6	Spectrogram 1	1	24.0	27.0	150	15000	trepip	Tree Pipit	0.1586
7	Spectrogram 1	1	32.0	35.0	150	15000	trepip	Tree Pipit	0.9998
8	Spectrogram 1	1	34.0	37.0	150	15000	trepip	Tree Pipit	0.9682
9	Spectrogram 1	1	36.0	39.0	150	15000	trepip	Tree Pipit	0.9496
10	Spectrogram 1	1	50.0	53.0	150	15000	trepip	Tree Pipit	0.3110
11	Spectrogram 1	1	52.0	55.0	150	15000	trepip	Tree Pipit	0.9861
