"confidence_threshold","recording_id","species","true_positive","false_positive","true_negative","false_negative"
"0.87","1","Turdus merula","0","0","1","0"
"0.87","1","Hirundo rustica","0","0","1","0"
"0.87","1","Columba palumbus","0","0","1","0"
"0.87","1","Fringilla coelebs","0","0","1","0"
"0.87","1","Apus apus","0","0","1","0"
"0.87","1","Passer domesticus","0","0","1","0"
"0.87","1","Parus major","0","0","1","0"
"0.87","1","Sylvia atricapilla","0","0","1","0"
"0.87","1","Corvus corone","0","0","1","0"
"0.87","1","Luscinia megarhynchos","0","0","0","1"
"0.87","1","Pica pica","0","0","1","0"
"0.87","1","Carduelis carduelis","0","0","1","0"
"0.87","1","Serinus serinus","0","0","1","0"
"0.87","1","Phoenicurus ochruros","0","0","1","0"
"0.87","1","Cuculus canorus","0","0","1","0"
"0.87","1","Milvus migrans","0","0","1","0"
"0.87","1","Erithacus rubecula","0","0","1","0"
"0.87","1","Delichon urbicum","0","0","1","0"
"0.87","1","Streptopelia decaocto","0","0","1","0"
"0.87","1","Anas platyrhynchos","0","0","1","0"
"0.87","1","Motacilla alba","0","0","1","0"
"0.87","1","Falco tinnunculus","0","0","1","0"
"0.87","1","Cyanistes caeruleus","0","0","1","0"
"0.87","1","Emberiza calandra","0","0","1","0"
"0.87","1","Chloris chloris","0","0","1","0"
"0.87","1","Buteo buteo","0","0","1","0"
"0.87","1","Garrulus glandarius","0","0","1","0"
"0.87","1","Merops apiaster","0","0","1","0"
"0.87","1","Columba livia","0","0","1","0"
"0.87","1","Linaria cannabina","0","0","1","0"
"0.87","1","Cettia cetti","0","0","1","0"
"0.87","1","Ardea cinerea","0","0","1","0"
"0.87","1","Troglodytes troglodytes","0","0","1","0"
"0.87","1","Sturnus vulgaris","0","0","1","0"
"0.87","1","Larus michahellis","0","0","1","0"
"0.87","1","Phylloscopus bonelli","0","0","1","0"
"0.87","1","Emberiza cirlus","0","0","1","0"
"0.87","1","Fulica atra","0","0","1","0"
"0.87","1","Oriolus oriolus","0","0","1","0"
"0.87","1","Saxicola rubicola","0","0","1","0"
"0.87","1","Upupa epops","0","0","1","0"
"0.87","1","Egretta garzetta","0","0","1","0"
"0.87","1","Certhia brachydactyla","0","0","1","0"
"0.87","1","Dendrocopos major","0","0","1","0"
"0.87","1","Circus aeruginosus","0","0","1","0"
"0.87","1","Ptyonoprogne rupestris","0","0","1","0"
"0.87","1","Periparus ater","0","0","1","0"
"0.87","1","Streptopelia turtur","0","0","1","0"
"0.87","1","Turdus viscivorus","0","0","1","0"
"0.87","1","Phylloscopus collybita","0","0","1","0"
"0.87","1","Regulus ignicapilla","0","0","1","0"
"0.87","1","Phalacrocorax carbo","0","0","1","0"
"0.87","1","Ciconia ciconia","0","0","1","0"
"0.87","1","Lullula arborea","0","0","1","0"
"0.87","1","Hippolais polyglotta","0","0","1","0"
"0.87","1","Aegithalos caudatus","0","0","1","0"
"0.87","1","Gallinula chloropus","0","0","1","0"
"0.87","1","Corvus corax","0","0","1","0"
"0.87","1","Himantopus himantopus","0","0","1","0"
"0.87","1","Motacilla flava","0","0","1","0"
"0.87","1","Cisticola juncidis","0","0","1","0"
"0.87","1","Corvus monedula","0","0","1","0"
"0.87","1","Alauda arvensis","0","0","1","0"
"0.87","1","Pyrrhocorax pyrrhocorax","0","0","1","0"
"0.87","1","Picus sharpei","0","0","1","0"
"0.87","1","Hieraaetus pennatus","0","0","1","0"
"0.87","1","Turdus philomelos","0","0","1","0"
"0.87","1","Sturnus unicolor","0","0","1","0"
"0.87","1","Galerida cristata","0","0","1","0"
"0.87","1","Milvus milvus","0","0","1","0"
"0.87","1","Chroicocephalus ridibundus","0","0","1","0"
"0.87","1","Podiceps cristatus","0","0","1","0"
"0.87","1","Oenanthe oenanthe","0","0","1","0"
"0.87","1","Lanius collurio","0","0","1","0"
"0.87","1","Circaetus gallicus","0","0","1","0"
"0.87","1","Prunella modularis","0","0","1","0"
"0.87","1","Phoenicurus phoenicurus","0","0","1","0"
"0.87","1","Curruca melanocephala","0","0","1","0"
"0.87","1","Tachybaptus ruficollis","0","0","1","0"
"0.87","1","Sitta europaea","0","0","1","0"
"0.87","1","Lophophanes cristatus","0","0","1","0"
"0.87","1","Alectoris rufa","0","0","1","0"
"0.87","1","Motacilla cinerea","0","0","1","0"
"0.87","1","Curruca communis","0","0","1","0"
"0.87","1","Acrocephalus scirpaceus","0","0","1","0"
"0.87","1","Petronia petronia","0","0","1","0"
"0.87","1","Bubulcus ibis","0","0","1","0"
"0.87","1","Acrocephalus arundinaceus","0","0","1","0"
"0.87","1","Picus viridis","0","0","1","0"
"0.87","1","Actitis hypoleucos","0","0","1","0"
"0.87","1","Ardea alba","0","0","1","0"
"0.87","1","Ardea purpurea","0","0","1","0"
"0.87","1","Passer montanus","0","0","1","0"
"0.87","1","Emberiza cia","0","0","1","0"
"0.87","1","Anthus trivialis","0","0","1","0"
"0.87","1","Muscicapa striata","0","0","1","0"
"0.87","1","Coturnix coturnix","0","0","1","0"
"0.87","1","Tadorna tadorna","0","0","1","0"
"0.87","1","Curruca iberiae","0","0","1","0"
"0.87","1","Lanius senator","0","0","1","0"
"0.87","1","Riparia riparia","0","0","1","0"
"0.87","1","Carduelis citrinella","0","0","1","0"
"0.87","1","Sylvia borin","0","0","1","0"
"0.87","1","Circus pygargus","0","0","1","0"
"0.87","1","Gelochelidon nilotica","0","0","1","0"
"0.87","1","Charadrius dubius","0","0","1","0"
"0.87","1","Apus melba","0","0","1","0"
"0.87","1","Phoenicopterus roseus","0","0","1","0"
"0.87","1","Recurvirostra avosetta","0","0","1","0"
"0.87","1","Accipiter nisus","0","0","1","0"
"0.87","1","Pernis apivorus","0","0","1","0"
"0.87","1","Melanocorypha calandra","0","0","1","0"
"0.87","1","Vanellus vanellus","0","0","1","0"
"0.87","1","Saxicola rubetra","0","0","1","0"
"0.87","1","Galerida theklae","0","0","1","0"
"0.87","1","Falco naumanni","0","0","1","0"
"0.87","1","Spatula clypeata","0","0","1","0"
"0.87","1","Falco subbuteo","0","0","1","0"
"0.87","1","Anthus campestris","0","0","1","0"
"0.87","1","Aythya ferina","0","0","1","0"
"0.87","1","Cygnus olor","0","0","1","0"
"0.87","1","Athene noctua","0","0","1","0"
"0.87","1","Burhinus oedicnemus","0","0","1","0"
"0.87","1","Alcedo atthis","0","0","1","0"
"0.87","1","Aquila chrysaetos","0","0","1","0"
"0.87","1","Phasianus colchicus","0","0","1","0"
"0.87","1","Passer hispaniolensis","0","0","1","0"
"0.87","1","Sterna hirundo","0","0","1","0"
"0.87","1","Rallus aquaticus","0","0","1","0"
"0.87","1","Pyrrhocorax graculus","0","0","1","0"
"0.87","1","Ficedula hypoleuca","0","0","1","0"
"0.87","1","Tringa ochropus","0","0","1","0"
"0.87","1","Anthus spinoletta","0","0","1","0"
"0.87","1","Acrocephalus schoenobaenus","0","0","1","0"
"0.87","1","Chlidonias hybrida","0","0","1","0"
"0.87","1","Phylloscopus trochilus","0","0","1","0"
"0.87","1","Emberiza citrinella","0","0","1","0"
"0.87","1","Corvus cornix","0","0","1","0"
"0.87","1","Nycticorax nycticorax","0","0","1","0"
"0.87","1","Coccothraustes coccothraustes","0","0","1","0"
"0.87","1","Curruca undata","0","0","1","0"
"0.87","1","Tringa totanus","0","0","1","0"
"0.87","1","Dryocopus martius","0","0","1","0"
"0.87","1","Plegadis falcinellus","0","0","1","0"
"0.87","1","Poecile palustris","0","0","1","0"
"0.87","1","Larus fuscus","0","0","1","0"
"0.87","1","Tringa nebularia","0","0","1","0"
"0.87","1","Charadrius hiaticula","0","0","1","0"
"0.87","1","Columba oenas","0","0","1","0"
"0.87","1","Calandrella brachydactyla","0","0","1","0"
"0.87","1","Monticola solitarius","0","0","1","0"
"0.87","1","Lanius meridionalis","0","0","1","0"
"0.87","1","Pyrrhula pyrrhula","0","0","1","0"
"0.87","1","Phylloscopus ibericus","0","0","1","0"
"0.87","1","Ichthyaetus melanocephalus","0","0","1","0"
"0.87","1","Regulus regulus","0","0","1","0"
"0.87","1","Cinclus cinclus","0","0","1","0"
"0.87","1","Psittacula krameri","0","0","1","0"
"0.87","1","Cecropis daurica","0","0","1","0"
"0.87","1","Falco peregrinus","0","0","1","0"
"0.87","1","Calidris pugnax","0","0","1","0"
"0.87","1","Curruca hortensis","0","0","1","0"
