Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	0	3.0	150	15000	cirbun1	Cirl Bunting	0.2575
2	Spectrogram 1	1	0	3.0	150	15000	webwar1	Western Bonelli's Warbler	0.2311
3	Spectrogram 1	1	0	3.0	150	15000	firecr1	Common Firecrest	0.1797
4	Spectrogram 1	1	0	3.0	150	15000	goldcr1	Goldcrest	0.1630
5	Spectrogram 1	1	0	3.0	150	15000	ibechi2	Iberian Chiffchaff	0.1222
6	Spectrogram 1	1	0	3.0	150	15000	blackc1	Eurasian Blackcap	0.1201
7	Spectrogram 1	1	0	3.0	150	15000	eurbul	Eurasian Bullfinch	0.1166
8	Spectrogram 1	1	0	3.0	150	15000	eugori2	Eurasian Golden Oriole	0.1144
9	Spectrogram 1	1	0	3.0	150	15000	hawfin	Hawfinch	0.1121
10	Spectrogram 1	1	0	3.0	150	15000	trepip	Tree Pipit	0.1091
11	Spectrogram 1	1	0	3.0	150	15000	booeag1	Booted Eagle	0.1015
12	Spectrogram 1	1	2.0	5.0	150	15000	blackc1	Eurasian Blackcap	0.3269
13	Spectrogram 1	1	2.0	5.0	150	15000	webwar1	Western Bonelli's Warbler	0.2895
14	Spectrogram 1	1	2.0	5.0	150	15000	cirbun1	Cirl Bunting	0.2717
15	Spectrogram 1	1	2.0	5.0	150	15000	firecr1	Common Firecrest	0.2152
16	Spectrogram 1	1	2.0	5.0	150	15000	goldcr1	Goldcrest	0.1758
17	Spectrogram 1	1	2.0	5.0	150	15000	ibechi2	Iberian Chiffchaff	0.1690
18	Spectrogram 1	1	2.0	5.0	150	15000	eugori2	Eurasian Golden Oriole	0.1470
19	Spectrogram 1	1	2.0	5.0	150	15000	trepip	Tree Pipit	0.1413
20	Spectrogram 1	1	2.0	5.0	150	15000	martit2	Marsh Tit	0.1229
21	Spectrogram 1	1	2.0	5.0	150	15000	spofly1	Spotted Flycatcher	0.1111
22	Spectrogram 1	1	2.0	5.0	150	15000	rocbun1	Rock Bunting	0.1082
23	Spectrogram 1	1	2.0	5.0	150	15000	eugwoo2	Eurasian Green Woodpecker	0.1010
24	Spectrogram 1	1	4.0	7.0	150	15000	webwar1	Western Bonelli's Warbler	0.2395
25	Spectrogram 1	1	4.0	7.0	150	15000	blackc1	Eurasian Blackcap	0.1995
26	Spectrogram 1	1	4.0	7.0	150	15000	firecr1	Common Firecrest	0.1814
27	Spectrogram 1	1	4.0	7.0	150	15000	ibechi2	Iberian Chiffchaff	0.1621
28	Spectrogram 1	1	4.0	7.0	150	15000	shttre1	Short-toed Treecreeper	0.1520
29	Spectrogram 1	1	4.0	7.0	150	15000	cirbun1	Cirl Bunting	0.1377
