"species","confidence_threshold","TP","FP","TN","FN","TPR","FPR","recall","precision","F_score1","F_score2","F_score3"
"Acrocephalus scirpaceus",0.1,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus scirpaceus",0.11,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus scirpaceus",0.12,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus scirpaceus",0.13,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus scirpaceus",0.14,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus scirpaceus",0.15,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.1,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.11,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.12,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.13,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.14,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.15,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.16,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.17,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.18,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.19,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.2,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.21,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.22,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.23,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.24,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.25,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.26,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.27,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.28,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.29,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.3,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.31,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.32,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.33,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.34,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.35,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.36,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.37,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.38,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.39,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.4,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.41,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.42,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.43,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.44,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.45,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.46,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.47,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.48,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.49,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.5,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.51,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.52,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.53,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.54,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.55,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.56,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.57,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.58,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.59,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.6,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.61,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.62,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.63,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.64,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.65,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.66,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.67,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.68,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.69,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
