Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	0	3.0	150	15000	eurbla	Eurasian Blackbird	0.5984
2	Spectrogram 1	1	2.0	5.0	150	15000	eurbla	Eurasian Blackbird	0.1414
3	Spectrogram 1	1	3.0	6.0	150	15000	eurbla	Eurasian Blackbird	0.2607
4	Spectrogram 1	1	4.0	7.0	150	15000	eurbla	Eurasian Blackbird	0.8280
5	Spectrogram 1	1	5.0	8.0	150	15000	eurbla	Eurasian Blackbird	0.1952
6	Spectrogram 1	1	7.0	10.0	150	15000	eurbla	Eurasian Blackbird	0.5266
7	Spectrogram 1	1	8.0	11.0	150	15000	eurbla	Eurasian Blackbird	0.9759
8	Spectrogram 1	1	9.0	12.0	150	15000	eurbla	Eurasian Blackbird	0.9467
9	Spectrogram 1	1	10.0	13.0	150	15000	eurbla	Eurasian Blackbird	0.7816
10	Spectrogram 1	1	11.0	14.0	150	15000	eurbla	Eurasian Blackbird	0.3658
11	Spectrogram 1	1	12.0	15.0	150	15000	eurbla	Eurasian Blackbird	0.1396
12	Spectrogram 1	1	13.0	16.0	150	15000	eurbla	Eurasian Blackbird	0.7374
13	Spectrogram 1	1	14.0	17.0	150	15000	eurbla	Eurasian Blackbird	0.9259
14	Spectrogram 1	1	15.0	18.0	150	15000	eurbla	Eurasian Blackbird	0.6855
15	Spectrogram 1	1	17.0	20.0	150	15000	eurbla	Eurasian Blackbird	0.3616
16	Spectrogram 1	1	18.0	21.0	150	15000	eurbla	Eurasian Blackbird	0.9378
17	Spectrogram 1	1	19.0	22.0	150	15000	eurbla	Eurasian Blackbird	0.9931
18	Spectrogram 1	1	20.0	23.0	150	15000	eurbla	Eurasian Blackbird	0.8294
19	Spectrogram 1	1	22.0	25.0	150	15000	eurbla	Eurasian Blackbird	0.1644
20	Spectrogram 1	1	23.0	26.0	150	15000	eurbla	Eurasian Blackbird	0.6617
21	Spectrogram 1	1	24.0	27.0	150	15000	eurbla	Eurasian Blackbird	0.9239
22	Spectrogram 1	1	25.0	28.0	150	15000	eurbla	Eurasian Blackbird	0.8909
23	Spectrogram 1	1	28.0	31.0	150	15000	eurbla	Eurasian Blackbird	0.4856
24	Spectrogram 1	1	29.0	32.0	150	15000	eurbla	Eurasian Blackbird	0.8204
25	Spectrogram 1	1	30.0	33.0	150	15000	eurbla	Eurasian Blackbird	0.9433
26	Spectrogram 1	1	31.0	34.0	150	15000	eurbla	Eurasian Blackbird	0.7609
27	Spectrogram 1	1	34.0	37.0	150	15000	eurbla	Eurasian Blackbird	0.7425
28	Spectrogram 1	1	37.0	40.0	150	15000	eurbla	Eurasian Blackbird	0.2001
29	Spectrogram 1	1	38.0	41.0	150	15000	eurbla	Eurasian Blackbird	0.7212
30	Spectrogram 1	1	39.0	42.0	150	15000	eurbla	Eurasian Blackbird	0.9979
31	Spectrogram 1	1	40.0	43.0	150	15000	eurbla	Eurasian Blackbird	0.9530
32	Spectrogram 1	1	41.0	44.0	150	15000	eurbla	Eurasian Blackbird	0.1690
33	Spectrogram 1	1	44.0	47.0	150	15000	eurbla	Eurasian Blackbird	0.3519
34	Spectrogram 1	1	45.0	48.0	150	15000	eurbla	Eurasian Blackbird	0.9430
35	Spectrogram 1	1	46.0	49.0	150	15000	eurbla	Eurasian Blackbird	0.9099
36	Spectrogram 1	1	49.0	52.0	150	15000	eurbla	Eurasian Blackbird	0.1424
37	Spectrogram 1	1	50.0	53.0	150	15000	eurbla	Eurasian Blackbird	0.8908
38	Spectrogram 1	1	52.0	55.0	150	15000	eurbla	Eurasian Blackbird	0.1174
39	Spectrogram 1	1	54.0	57.0	150	15000	eubeat1	European Bee-eater	0.5246
40	Spectrogram 1	1	55.0	58.0	150	15000	eurbla	Eurasian Blackbird	0.2211
41	Spectrogram 1	1	56.0	59.0	150	15000	eurbla	Eurasian Blackbird	0.1684
42	Spectrogram 1	1	57.0	60.0	150	15000	eurbla	Eurasian Blackbird	0.7728
43	Spectrogram 1	1	59.0	62.0	150	15000	dunnoc1	Dunnock	0.5374
